measure,age,ss_1_19,raw_min,raw_max
OTm_orientation,9.5,7,6,6
OTm_orientation,9.5,8,NA,NA
OTm_orientation,9.5,9,7,7
OTm_orientation,9.5,10,8,8
OTm_orientation,9.5,11,NA,NA
OTm_orientation,9.5,12,9,9
OTm_orientation,9.5,13,NA,NA
OTm_orientation,9.5,14,NA,NA
OTm_orientation,9.5,15,NA,NA
OTm_orientation,9.5,16,10,10
OTm_orientation,9.5,17,NA,NA
OTm_orientation,9.5,18,NA,NA
OTm_orientation,9.5,19,NA,NA
OTm_orientation,9.75,1,0,2
OTm_orientation,9.75,2,NA,NA
OTm_orientation,9.75,3,3,3
OTm_orientation,9.75,4,4,4
OTm_orientation,9.75,5,5,5
OTm_orientation,9.75,6,NA,NA
OTm_orientation,9.75,7,6,6
OTm_orientation,9.75,8,NA,NA
OTm_orientation,9.75,9,7,7
OTm_orientation,9.75,10,8,8
OTm_orientation,9.75,11,NA,NA
OTm_orientation,9.75,12,9,9
OTm_orientation,9.75,13,NA,NA
OTm_orientation,9.75,14,NA,NA
OTm_orientation,9.75,15,NA,NA
OTm_orientation,9.75,16,10,10
OTm_orientation,9.75,17,NA,NA
OTm_orientation,9.75,18,NA,NA
OTm_orientation,9.75,19,NA,NA
OTm_orientation,10,1,0,2
OTm_orientation,10,2,3,3
OTm_orientation,10,3,NA,NA
OTm_orientation,10,4,4,4
OTm_orientation,10,5,5,5
OTm_orientation,10,6,NA,NA
OTm_orientation,10,7,6,6
OTm_orientation,10,8,7,7
OTm_orientation,10,9,NA,NA
OTm_orientation,10,10,8,8
OTm_orientation,10,11,NA,NA
OTm_orientation,10,12,9,9
OTm_orientation,10,13,NA,NA
OTm_orientation,10,14,NA,NA
OTm_orientation,10,15,NA,NA
OTm_orientation,10,16,10,10
OTm_orientation,10,17,NA,NA
OTm_orientation,10,18,NA,NA
OTm_orientation,10,19,NA,NA
OTm_orientation,10.25,1,0,2
OTm_orientation,10.25,2,3,3
OTm_orientation,10.25,3,NA,NA
OTm_orientation,10.25,4,4,4
OTm_orientation,10.25,5,5,5
OTm_orientation,10.25,6,NA,NA
OTm_orientation,10.25,7,6,6
OTm_orientation,10.25,8,7,7
OTm_orientation,10.25,9,NA,NA
OTm_orientation,10.25,10,8,8
OTm_orientation,10.25,11,NA,NA
OTm_orientation,10.25,12,9,9
OTm_orientation,10.25,13,NA,NA
OTm_orientation,10.25,14,NA,NA
OTm_orientation,10.25,15,10,10
OTm_orientation,10.25,16,NA,NA
OTm_orientation,10.25,17,NA,NA
OTm_orientation,10.25,18,NA,NA
